=== INAA Legal Research — All-State Verification ===
CourtListener: token found
Mode: LIVE

1402 statutes to verify
  [135/1402] public-intoxication: LOW (0.15)
  [136/1402] rape: LOW (0.15)
  [137/1402] receiving-stolen-property: LOW (0.15)
  [138/1402] reckless-driving: LOW (0.15)
  [139/1402] residential-burglary: LOW (0.15)
  [140/1402] resisting-arrest: LOW (0.15)
  [141/1402] robbery: LOW (0.15)
  [142/1402] sexual-assault: LOW (0.15)
  [143/1402] shoplifting: LOW (0.15)
  [144/1402] simple-assault: LOW (0.15)
  [145/1402] solicitation-prostitution: LOW (0.15)
  [146/1402] stalking: LOW (0.15)
  [147/1402] statutory-rape: LOW (0.15)
  [148/1402] theft-larceny: LOW (0.15)
  [149/1402] trespassing: LOW (0.15)
  [150/1402] vandalism: LOW (0.15)
  [151/1402] vehicular-homicide: LOW (0.15)
  [152/1402] vehicular-manslaughter: LOW (0.15)
  [153/1402] violation-protective-order: LOW (0.15)
  [154/1402] voluntary-manslaughter: LOW (0.15)
  [155/1402] weapons-possession: LOW (0.15)

--- NH ---
  [156/1402] aggravated-assault: LOW (0.15)
  [157/1402] aiding-abetting: LOW (0.15)
  [158/1402] animal-cruelty: LOW (0.15)
  [159/1402] armed-robbery: LOW (0.15)
  [160/1402] arson: LOW (0.15)
  [161/1402] assault-with-deadly-weapon: LOW (0.15)
  [162/1402] attempt: LOW (0.15)
  [163/1402] attempted-murder: LOW (0.15)
  [164/1402] bad-checks: LOW (0.15)
  [165/1402] battery: LOW (0.15)
  [166/1402] bribery: LOW (0.15)
  [167/1402] burglary: LOW (0.15)
  [168/1402] child-abuse: LOW (0.15)
  [169/1402] child-endangerment: LOW (0.15)
  [170/1402] child-exploitation: LOW (0.15)
  [171/1402] concealed-carry-violation: LOW (0.15)
  [172/1402] conspiracy: LOW (0.15)
  [173/1402] contempt-of-court: LOW (0.15)
  [174/1402] counterfeiting: LOW (0.15)
  [175/1402] credit-card-fraud: LOW (0.15)
  [176/1402] criminal-mischief: LOW (0.15)
  [177/1402] criminal-threat: LOW (0.15)
  [178/1402] disorderly-conduct: LOW (0.15)
  [179/1402] domestic-battery: LOW (0.15)
  [180/1402] domestic-violence: LOW (0.15)
  [181/1402] driving-on-suspended: LOW (0.15)
  [182/1402] drug-distribution: LOW (0.15)
  [183/1402] drug-manufacturing: LOW (0.15)
  [184/1402] drug-paraphernalia: LOW (0.15)
  [185/1402] drug-possession: LOW (0.15)
  [186/1402] drug-possession-cocaine: LOW (0.15)
  [187/1402] drug-possession-marijuana: LOW (0.15)
  [188/1402] drug-possession-meth: LOW (0.15)
  [189/1402] drug-possession-with-intent: LOW (0.15)
  [190/1402] drug-trafficking: LOW (0.15)
  [191/1402] dui-drugs: LOW (0.15)
  [192/1402] dui-dwi: LOW (0.15)
  [193/1402] dui-first-offense: LOW (0.15)
  [194/1402] dui-repeat-offense: LOW (0.15)
  [195/1402] elder-abuse: LOW (0.15)
  [196/1402] embezzlement: LOW (0.15)
  [197/1402] escape-custody: LOW (0.15)
  [198/1402] failure-to-appear: LOW (0.15)
  [199/1402] failure-to-register: LOW (0.15)
  [200/1402] false-report: LOW (0.15)
  [201/1402] felon-in-possession: LOW (0.15)
  [202/1402] fleeing-eluding: LOW (0.15)
  [203/1402] forgery: LOW (0.15)
  [204/1402] fraud-general: LOW (0.15)
  [205/1402] grand-theft: LOW (0.15)
  [206/1402] harassment: LOW (0.15)
  [207/1402] hit-and-run: LOW (0.15)
  [208/1402] identity-theft: LOW (0.15)
  [209/1402] illegal-discharge: LOW (0.15)
  [210/1402] indecent-exposure: LOW (0.15)
  [211/1402] insurance-fraud: LOW (0.15)
  [212/1402] involuntary-manslaughter: LOW (0.15)
  [213/1402] kidnapping: LOW (0.15)
  [214/1402] money-laundering: LOW (0.15)
  [215/1402] motor-vehicle-theft: LOW (0.15)
  [216/1402] murder-first-degree: LOW (0.15)
  [217/1402] murder-second-degree: LOW (0.15)
  [218/1402] obstruction-justice: LOW (0.15)
  [219/1402] parole-violation: LOW (0.15)
  [220/1402] perjury: LOW (0.15)
  [221/1402] petty-theft: LOW (0.15)
  [222/1402] probation-violation: LOW (0.15)
  [223/1402] public-intoxication: LOW (0.15)
  [224/1402] rape: LOW (0.15)
  [225/1402] receiving-stolen-property: LOW (0.15)
  [226/1402] reckless-driving: LOW (0.15)
  [227/1402] residential-burglary: LOW (0.15)
  [228/1402] resisting-arrest: LOW (0.15)
  [229/1402] robbery: LOW (0.15)
  [230/1402] sexual-assault: LOW (0.15)
  [231/1402] shoplifting: LOW (0.15)
  [232/1402] simple-assault: LOW (0.15)
  [233/1402] solicitation-prostitution: LOW (0.15)
  [234/1402] stalking: LOW (0.15)
  [235/1402] statutory-rape: LOW (0.15)
  [236/1402] theft-larceny: LOW (0.15)
  [237/1402] trespassing: LOW (0.15)
  [238/1402] vandalism: LOW (0.15)
  [239/1402] vehicular-homicide: LOW (0.15)
  [240/1402] vehicular-manslaughter: LOW (0.15)
  [241/1402] violation-protective-order: LOW (0.15)
  [242/1402] voluntary-manslaughter: LOW (0.15)
  [243/1402] weapons-possession: LOW (0.15)

--- NM ---
  [244/1402] aggravated-assault: LOW (0.15)
  [245/1402] aiding-abetting: LOW (0.15)
  [246/1402] animal-cruelty: LOW (0.15)
  [247/1402] armed-robbery: LOW (0.15)
  [248/1402] arson: LOW (0.15)
  [249/1402] assault-with-deadly-weapon: LOW (0.15)
  [250/1402] attempt: LOW (0.15)
  [251/1402] attempted-murder: LOW (0.15)
  [252/1402] bad-checks: LOW (0.15)
  [253/1402] battery: LOW (0.15)
  [254/1402] bribery: LOW (0.15)
  [255/1402] burglary: LOW (0.15)
  [256/1402] child-abuse: LOW (0.15)
  [257/1402] child-endangerment: LOW (0.15)
  [258/1402] child-exploitation: LOW (0.15)
  [259/1402] concealed-carry-violation: LOW (0.15)
  [260/1402] conspiracy: LOW (0.15)
  [261/1402] contempt-of-court: LOW (0.15)
  [262/1402] counterfeiting: LOW (0.15)
  [263/1402] credit-card-fraud: LOW (0.15)
  [264/1402] criminal-mischief: LOW (0.15)
  [265/1402] criminal-threat: LOW (0.15)
  [266/1402] disorderly-conduct: LOW (0.15)
  [267/1402] domestic-battery: LOW (0.15)
  [268/1402] domestic-violence: LOW (0.15)
  [269/1402] driving-on-suspended: LOW (0.15)
  [270/1402] drug-distribution: LOW (0.15)
  [271/1402] drug-manufacturing: LOW (0.15)
  [272/1402] drug-paraphernalia: LOW (0.15)
  [273/1402] drug-possession: LOW (0.15)
  [274/1402] drug-possession-cocaine: LOW (0.15)
  [275/1402] drug-possession-marijuana: LOW (0.15)
  [276/1402] drug-possession-meth: LOW (0.15)
  [277/1402] drug-possession-with-intent: LOW (0.15)
  [278/1402] drug-trafficking: LOW (0.15)
  [279/1402] dui-drugs: LOW (0.15)
  [280/1402] dui-dwi: LOW (0.15)
  [281/1402] dui-first-offense: LOW (0.15)
  [282/1402] dui-repeat-offense: LOW (0.15)
  [283/1402] elder-abuse: LOW (0.15)
  [284/1402] embezzlement: LOW (0.15)
  [285/1402] escape-custody: LOW (0.15)
  [286/1402] failure-to-appear: LOW (0.15)
  [287/1402] failure-to-register: LOW (0.15)
  [288/1402] false-report: LOW (0.15)
  [289/1402] felon-in-possession: LOW (0.15)
  [290/1402] fleeing-eluding: LOW (0.15)
  [291/1402] forgery: LOW (0.15)
  [292/1402] fraud-general: LOW (0.15)
  [293/1402] grand-theft: LOW (0.15)
  [294/1402] harassment: LOW (0.15)
  [295/1402] hit-and-run: LOW (0.15)
  [296/1402] identity-theft: LOW (0.15)
  [297/1402] illegal-discharge: LOW (0.15)
  [298/1402] indecent-exposure: LOW (0.15)
  [299/1402] insurance-fraud: LOW (0.15)
  [300/1402] involuntary-manslaughter: LOW (0.15)
  [301/1402] kidnapping: LOW (0.15)
  [302/1402] money-laundering: LOW (0.15)
  [303/1402] motor-vehicle-theft: LOW (0.15)
  [304/1402] murder-first-degree: LOW (0.15)
  [305/1402] murder-second-degree: LOW (0.15)
  [306/1402] obstruction-justice: LOW (0.15)
  [307/1402] parole-violation: LOW (0.15)
  [308/1402] perjury: LOW (0.15)
  [309/1402] petty-theft: LOW (0.15)
  [310/1402] probation-violation: LOW (0.15)
  [311/1402] public-intoxication: LOW (0.15)
  [312/1402] rape: LOW (0.15)
  [313/1402] receiving-stolen-property: LOW (0.15)
  [314/1402] reckless-driving: LOW (0.15)
  [315/1402] residential-burglary: LOW (0.15)
  [316/1402] resisting-arrest: LOW (0.15)
  [317/1402] robbery: LOW (0.15)
  [318/1402] sexual-assault: LOW (0.15)
  [319/1402] shoplifting: LOW (0.15)
  [320/1402] simple-assault: LOW (0.15)
  [321/1402] solicitation-prostitution: LOW (0.15)
  [322/1402] stalking: LOW (0.15)
  [323/1402] statutory-rape: LOW (0.15)
  [324/1402] theft-larceny: LOW (0.15)
  [325/1402] trespassing: LOW (0.15)
  [326/1402] vandalism: LOW (0.15)
  [327/1402] vehicular-homicide: LOW (0.15)
  [328/1402] vehicular-manslaughter: LOW (0.15)
  [329/1402] violation-protective-order: LOW (0.15)
  [330/1402] voluntary-manslaughter: LOW (0.15)
  [331/1402] weapons-possession: LOW (0.15)

--- NV ---
  [332/1402] aggravated-assault: LOW (0.15)
  [333/1402] arson: LOW (0.15)
  [334/1402] assault-police-officer: LOW (0.15)
  [335/1402] attempt: LOW (0.15)
  [336/1402] bad-checks: LOW (0.15)
  [337/1402] battery: LOW (0.15)
  [338/1402] burglary: LOW (0.15)
  [339/1402] carjacking: LOW (0.15)
  [340/1402] child-abuse: LOW (0.15)
  [341/1402] child-exploitation: LOW (0.15)
  [342/1402] concealed-carry-violation: LOW (0.15)
  [343/1402] conspiracy: LOW (0.15)
  [344/1402] contempt-of-court: LOW (0.15)
  [345/1402] credit-card-fraud: LOW (0.15)
  [346/1402] criminal-threat: LOW (0.15)
  [347/1402] disorderly-conduct: LOW (0.15)
  [348/1402] domestic-battery: LOW (0.15)
  [349/1402] drug-distribution: LOW (0.15)
  [350/1402] drug-paraphernalia: LOW (0.15)
  [351/1402] drug-possession: LOW (0.15)
  [352/1402] drug-possession-marijuana: LOW (0.15)
  [353/1402] drug-possession-with-intent: LOW (0.15)
  [354/1402] drug-trafficking: LOW (0.15)
  [355/1402] dui-drugs: LOW (0.15)
  [356/1402] dui-dwi: LOW (0.15)
  [357/1402] dui-felony-injury: LOW (0.15)
  [358/1402] dui-first-offense: LOW (0.15)
  [359/1402] dui-repeat-offense: LOW (0.15)
  [360/1402] elder-abuse: LOW (0.15)
  [361/1402] embezzlement: LOW (0.15)
  [362/1402] extortion: LOW (0.15)
  [363/1402] failure-to-appear: LOW (0.15)
  [364/1402] failure-to-register: LOW (0.15)
  [365/1402] felon-in-possession: LOW (0.15)
  [366/1402] fleeing-eluding: LOW (0.15)
  [367/1402] forgery: LOW (0.15)
  [368/1402] grand-theft: LOW (0.15)
  [369/1402] hit-and-run: LOW (0.15)
  [370/1402] home-invasion: LOW (0.15)
  [371/1402] identity-theft: LOW (0.15)
  [372/1402] illegal-discharge: LOW (0.15)
  [373/1402] indecent-exposure: LOW (0.15)
  [374/1402] insurance-fraud: LOW (0.15)
  [375/1402] involuntary-manslaughter: LOW (0.15)
  [376/1402] kidnapping: LOW (0.15)
  [377/1402] murder-first-degree: LOW (0.15)
  [378/1402] murder-second-degree: LOW (0.15)
  [379/1402] perjury: LOW (0.15)
  [380/1402] petty-theft: LOW (0.15)
  [381/1402] probation-violation: LOW (0.15)
  [382/1402] public-intoxication: LOW (0.15)
  [383/1402] receiving-stolen-property: LOW (0.15)
  [384/1402] reckless-driving: LOW (0.15)
  [385/1402] resisting-arrest: LOW (0.15)
  [386/1402] robbery: LOW (0.15)
  [387/1402] sexual-assault: LOW (0.15)
  [388/1402] shoplifting: LOW (0.15)
  [389/1402] simple-assault: LOW (0.15)
  [390/1402] solicitation-prostitution: LOW (0.15)
  [391/1402] stalking: LOW (0.15)
  [392/1402] statutory-rape: LOW (0.15)
  [393/1402] trespassing: LOW (0.15)
