=== INAA Legal Research — All-State Verification ===
CourtListener: token found
Mode: LIVE

1402 statutes to verify
  [592/1402] probation-violation: LOW (0.15)
  [593/1402] public-intoxication: LOW (0.15)
  [594/1402] rape: LOW (0.15)
  [595/1402] receiving-stolen-property: LOW (0.15)
  [596/1402] reckless-driving: LOW (0.15)
  [597/1402] residential-burglary: LOW (0.15)
  [598/1402] resisting-arrest: LOW (0.15)
  [599/1402] robbery: LOW (0.15)
  [600/1402] sexual-assault: LOW (0.15)
  [601/1402] shoplifting: LOW (0.15)
  [602/1402] simple-assault: LOW (0.15)
  [603/1402] solicitation-prostitution: LOW (0.15)
  [604/1402] stalking: LOW (0.15)
  [605/1402] statutory-rape: LOW (0.15)
  [606/1402] theft-larceny: LOW (0.15)
  [607/1402] trespassing: LOW (0.15)
  [608/1402] vandalism: LOW (0.15)
  [609/1402] vehicular-homicide: LOW (0.15)
  [610/1402] vehicular-manslaughter: LOW (0.15)
  [611/1402] violation-protective-order: LOW (0.15)
  [612/1402] voluntary-manslaughter: LOW (0.15)
  [613/1402] weapons-possession: LOW (0.15)

--- SD ---
  [614/1402] aggravated-assault: LOW (0.15)
  [615/1402] aiding-abetting: LOW (0.15)
  [616/1402] animal-cruelty: LOW (0.15)
  [617/1402] armed-robbery: LOW (0.15)
  [618/1402] arson: LOW (0.15)
  [619/1402] assault-with-deadly-weapon: LOW (0.15)
  [620/1402] attempt: LOW (0.15)
  [621/1402] attempted-murder: LOW (0.15)
  [622/1402] bad-checks: LOW (0.15)
  [623/1402] battery: LOW (0.15)
  [624/1402] bribery: LOW (0.15)
  [625/1402] burglary: LOW (0.15)
  [626/1402] child-abuse: LOW (0.15)
  [627/1402] child-endangerment: LOW (0.15)
  [628/1402] child-exploitation: LOW (0.15)
  [629/1402] concealed-carry-violation: LOW (0.15)
  [630/1402] conspiracy: LOW (0.15)
  [631/1402] contempt-of-court: LOW (0.15)
  [632/1402] counterfeiting: LOW (0.15)
  [633/1402] credit-card-fraud: LOW (0.15)
  [634/1402] criminal-mischief: LOW (0.15)
  [635/1402] criminal-threat: LOW (0.15)
  [636/1402] disorderly-conduct: LOW (0.15)
  [637/1402] domestic-battery: LOW (0.15)
  [638/1402] domestic-violence: LOW (0.15)
  [639/1402] driving-on-suspended: LOW (0.15)
  [640/1402] drug-distribution: LOW (0.15)
  [641/1402] drug-manufacturing: LOW (0.15)
  [642/1402] drug-paraphernalia: LOW (0.15)
  [643/1402] drug-possession: LOW (0.15)
  [644/1402] drug-possession-cocaine: LOW (0.15)
  [645/1402] drug-possession-marijuana: LOW (0.15)
  [646/1402] drug-possession-meth: LOW (0.15)
  [647/1402] drug-possession-with-intent: LOW (0.15)
  [648/1402] drug-trafficking: LOW (0.15)
  [649/1402] dui-drugs: LOW (0.15)
  [650/1402] dui-dwi: LOW (0.15)
  [651/1402] dui-first-offense: LOW (0.15)
  [652/1402] dui-repeat-offense: LOW (0.15)
  [653/1402] elder-abuse: LOW (0.15)
  [654/1402] embezzlement: LOW (0.15)
  [655/1402] escape-custody: LOW (0.15)
  [656/1402] failure-to-appear: LOW (0.15)
  [657/1402] failure-to-register: LOW (0.15)
  [658/1402] false-report: LOW (0.15)
  [659/1402] felon-in-possession: LOW (0.15)
  [660/1402] fleeing-eluding: LOW (0.15)
  [661/1402] forgery: LOW (0.15)
  [662/1402] fraud-general: LOW (0.15)
  [663/1402] grand-theft: LOW (0.15)
  [664/1402] harassment: LOW (0.15)
  [665/1402] hit-and-run: LOW (0.15)
  [666/1402] identity-theft: LOW (0.15)
  [667/1402] illegal-discharge: LOW (0.15)
  [668/1402] indecent-exposure: LOW (0.15)
  [669/1402] insurance-fraud: LOW (0.15)
  [670/1402] involuntary-manslaughter: LOW (0.15)
  [671/1402] kidnapping: LOW (0.15)
  [672/1402] money-laundering: LOW (0.15)
  [673/1402] motor-vehicle-theft: LOW (0.15)
  [674/1402] murder-first-degree: LOW (0.15)
  [675/1402] murder-second-degree: LOW (0.15)
  [676/1402] obstruction-justice: LOW (0.15)
  [677/1402] parole-violation: LOW (0.15)
  [678/1402] perjury: LOW (0.15)
  [679/1402] petty-theft: LOW (0.15)
  [680/1402] probation-violation: LOW (0.15)
  [681/1402] public-intoxication: LOW (0.15)
  [682/1402] rape: LOW (0.15)
  [683/1402] receiving-stolen-property: LOW (0.15)
  [684/1402] reckless-driving: LOW (0.15)
  [685/1402] residential-burglary: LOW (0.15)
  [686/1402] resisting-arrest: LOW (0.15)
  [687/1402] robbery: LOW (0.15)
  [688/1402] sexual-assault: LOW (0.15)
  [689/1402] shoplifting: LOW (0.15)
  [690/1402] simple-assault: LOW (0.15)
  [691/1402] solicitation-prostitution: LOW (0.15)
  [692/1402] stalking: LOW (0.15)
  [693/1402] statutory-rape: LOW (0.15)
  [694/1402] theft-larceny: LOW (0.15)
  [695/1402] trespassing: LOW (0.15)
  [696/1402] vandalism: LOW (0.15)
  [697/1402] vehicular-homicide: LOW (0.15)
  [698/1402] vehicular-manslaughter: LOW (0.15)
  [699/1402] violation-protective-order: LOW (0.15)
  [700/1402] voluntary-manslaughter: LOW (0.15)
  [701/1402] weapons-possession: LOW (0.15)

--- TN ---
  [702/1402] aggravated-assault: LOW (0.15)
  [703/1402] aiding-abetting: LOW (0.15)
  [704/1402] animal-cruelty: LOW (0.15)
  [705/1402] armed-robbery: LOW (0.15)
  [706/1402] arson: LOW (0.15)
  [707/1402] assault-with-deadly-weapon: LOW (0.15)
  [708/1402] attempt: LOW (0.15)
  [709/1402] attempted-murder: LOW (0.15)
  [710/1402] bad-checks: LOW (0.15)
  [711/1402] battery: LOW (0.15)
  [712/1402] bribery: LOW (0.15)
  [713/1402] burglary: LOW (0.15)
  [714/1402] child-abuse: LOW (0.15)
  [715/1402] child-endangerment: LOW (0.15)
  [716/1402] child-exploitation: LOW (0.15)
  [717/1402] concealed-carry-violation: LOW (0.15)
  [718/1402] conspiracy: LOW (0.15)
  [719/1402] contempt-of-court: LOW (0.15)
  [720/1402] counterfeiting: LOW (0.15)
  [721/1402] credit-card-fraud: LOW (0.15)
  [722/1402] criminal-mischief: LOW (0.15)
  [723/1402] criminal-threat: LOW (0.15)
  [724/1402] disorderly-conduct: LOW (0.15)
  [725/1402] domestic-battery: LOW (0.15)
  [726/1402] domestic-violence: LOW (0.15)
  [727/1402] driving-on-suspended: LOW (0.15)
  [728/1402] drug-distribution: LOW (0.15)
  [729/1402] drug-manufacturing: LOW (0.15)
  [730/1402] drug-paraphernalia: LOW (0.15)
  [731/1402] drug-possession: LOW (0.15)
  [732/1402] drug-possession-cocaine: LOW (0.15)
  [733/1402] drug-possession-marijuana: LOW (0.15)
  [734/1402] drug-possession-meth: LOW (0.15)
  [735/1402] drug-possession-with-intent: LOW (0.15)
  [736/1402] drug-trafficking: LOW (0.15)
  [737/1402] dui-drugs: LOW (0.15)
  [738/1402] dui-dwi: LOW (0.15)
  [739/1402] dui-first-offense: LOW (0.15)
  [740/1402] dui-repeat-offense: LOW (0.15)
  [741/1402] elder-abuse: LOW (0.15)
  [742/1402] embezzlement: LOW (0.15)
  [743/1402] escape-custody: LOW (0.15)
  [744/1402] failure-to-appear: LOW (0.15)
  [745/1402] failure-to-register: LOW (0.15)
  [746/1402] false-report: LOW (0.15)
  [747/1402] felon-in-possession: LOW (0.15)
  [748/1402] fleeing-eluding: LOW (0.15)
  [749/1402] forgery: LOW (0.15)
  [750/1402] fraud-general: LOW (0.15)
  [751/1402] grand-theft: LOW (0.15)
  [752/1402] harassment: LOW (0.15)
  [753/1402] hit-and-run: LOW (0.15)
  [754/1402] identity-theft: LOW (0.15)
  [755/1402] illegal-discharge: LOW (0.15)
  [756/1402] indecent-exposure: LOW (0.15)
  [757/1402] insurance-fraud: LOW (0.15)
  [758/1402] involuntary-manslaughter: LOW (0.15)
  [759/1402] kidnapping: LOW (0.15)
  [760/1402] money-laundering: LOW (0.15)
  [761/1402] motor-vehicle-theft: LOW (0.15)
  [762/1402] murder-first-degree: LOW (0.15)
  [763/1402] murder-second-degree: LOW (0.15)
  [764/1402] obstruction-justice: LOW (0.15)
  [765/1402] parole-violation: LOW (0.15)
  [766/1402] perjury: LOW (0.15)
  [767/1402] petty-theft: LOW (0.15)
  [768/1402] probation-violation: LOW (0.15)
  [769/1402] public-intoxication: LOW (0.15)
  [770/1402] rape: LOW (0.15)
  [771/1402] receiving-stolen-property: LOW (0.15)
  [772/1402] reckless-driving: LOW (0.15)
  [773/1402] residential-burglary: LOW (0.15)
  [774/1402] resisting-arrest: LOW (0.15)
  [775/1402] robbery: LOW (0.15)
  [776/1402] sexual-assault: LOW (0.15)
  [777/1402] shoplifting: LOW (0.15)
  [778/1402] simple-assault: LOW (0.15)
  [779/1402] solicitation-prostitution: LOW (0.15)
  [780/1402] stalking: LOW (0.15)
  [781/1402] statutory-rape: LOW (0.15)
  [782/1402] theft-larceny: LOW (0.15)
  [783/1402] trespassing: LOW (0.15)
  [784/1402] vandalism: LOW (0.15)
  [785/1402] vehicular-homicide: LOW (0.15)
  [786/1402] vehicular-manslaughter: LOW (0.15)
  [787/1402] violation-protective-order: LOW (0.15)
  [788/1402] voluntary-manslaughter: LOW (0.15)
  [789/1402] weapons-possession: LOW (0.15)

--- TX ---
  [790/1402] aggravated-assault: LOW (0.15)
  [791/1402] aiding-abetting: LOW (0.15)
  [792/1402] animal-cruelty: LOW (0.15)
  [793/1402] armed-robbery: LOW (0.15)
  [794/1402] arson: LOW (0.15)
  [795/1402] assault-with-deadly-weapon: LOW (0.15)
  [796/1402] attempt: LOW (0.15)
  [797/1402] attempted-murder: LOW (0.15)
  [798/1402] bad-checks: LOW (0.15)
  [799/1402] battery: LOW (0.15)
  [800/1402] bribery: LOW (0.15)
  [801/1402] burglary: LOW (0.15)
  [802/1402] child-abuse: LOW (0.15)
  [803/1402] child-endangerment: LOW (0.15)
  [804/1402] child-exploitation: LOW (0.15)
  [805/1402] concealed-carry-violation: LOW (0.15)
  [806/1402] conspiracy: LOW (0.15)
  [807/1402] contempt-of-court: LOW (0.15)
  [808/1402] counterfeiting: LOW (0.15)
  [809/1402] credit-card-fraud: LOW (0.15)
  [810/1402] criminal-mischief: LOW (0.15)
  [811/1402] criminal-threat: LOW (0.15)
  [812/1402] disorderly-conduct: LOW (0.15)
  [813/1402] domestic-battery: LOW (0.15)
  [814/1402] domestic-violence: LOW (0.15)
  [815/1402] driving-on-suspended: LOW (0.15)
  [816/1402] drug-distribution: LOW (0.15)
  [817/1402] drug-manufacturing: LOW (0.15)
  [818/1402] drug-paraphernalia: LOW (0.15)
  [819/1402] drug-possession: LOW (0.15)
  [820/1402] drug-possession-cocaine: LOW (0.15)
  [821/1402] drug-possession-marijuana: LOW (0.15)
  [822/1402] drug-possession-meth: LOW (0.15)
  [823/1402] drug-possession-with-intent: LOW (0.15)
  [824/1402] drug-trafficking: LOW (0.15)
  [825/1402] dui-drugs: LOW (0.15)
  [826/1402] dui-dwi: LOW (0.15)
  [827/1402] dui-first-offense: LOW (0.15)
  [828/1402] dui-repeat-offense: LOW (0.15)
  [829/1402] elder-abuse: LOW (0.15)
  [830/1402] embezzlement: LOW (0.15)
  [831/1402] escape-custody: LOW (0.15)
  [832/1402] failure-to-appear: LOW (0.15)
  [833/1402] failure-to-register: LOW (0.15)
  [834/1402] false-report: LOW (0.15)
  [835/1402] felon-in-possession: LOW (0.15)
  [836/1402] fleeing-eluding: LOW (0.15)
  [837/1402] forgery: LOW (0.15)
  [838/1402] fraud-general: LOW (0.15)
  [839/1402] grand-theft: LOW (0.15)
  [840/1402] harassment: LOW (0.15)
  [841/1402] hit-and-run: LOW (0.15)
  [842/1402] identity-theft: LOW (0.15)
  [843/1402] illegal-discharge: LOW (0.15)
  [844/1402] indecent-exposure: LOW (0.15)
  [845/1402] insurance-fraud: LOW (0.15)
  [846/1402] involuntary-manslaughter: LOW (0.15)
  [847/1402] kidnapping: LOW (0.15)
  [848/1402] money-laundering: LOW (0.15)
  [849/1402] motor-vehicle-theft: LOW (0.15)
  [850/1402] murder-first-degree: LOW (0.15)
  [851/1402] murder-second-degree: LOW (0.15)
  [852/1402] obstruction-justice: LOW (0.15)
  [853/1402] parole-violation: LOW (0.15)
  [854/1402] perjury: LOW (0.15)
  [855/1402] petty-theft: LOW (0.15)
  [856/1402] probation-violation: LOW (0.15)
  [857/1402] public-intoxication: LOW (0.15)
  [858/1402] rape: LOW (0.15)
  [859/1402] receiving-stolen-property: LOW (0.15)
  [860/1402] reckless-driving: LOW (0.15)
  [861/1402] residential-burglary: LOW (0.15)
  [862/1402] resisting-arrest: LOW (0.15)
  [863/1402] robbery: LOW (0.15)
  [864/1402] sexual-assault: LOW (0.15)
  [865/1402] shoplifting: LOW (0.15)
  [866/1402] simple-assault: LOW (0.15)
  [867/1402] solicitation-prostitution: LOW (0.15)
  [868/1402] stalking: LOW (0.15)
  [869/1402] statutory-rape: LOW (0.15)
  [870/1402] theft-larceny: LOW (0.15)
  [871/1402] trespassing: LOW (0.15)
  [872/1402] vandalism: LOW (0.15)
  [873/1402] vehicular-homicide: LOW (0.15)
  [874/1402] vehicular-manslaughter: LOW (0.15)
  [875/1402] violation-protective-order: LOW (0.15)
  [876/1402] voluntary-manslaughter: LOW (0.15)
  [877/1402] weapons-possession: LOW (0.15)

--- UT ---
  [878/1402] aggravated-assault: LOW (0.15)
  [879/1402] aiding-abetting: LOW (0.15)
  [880/1402] animal-cruelty: LOW (0.15)
  [881/1402] armed-robbery: LOW (0.15)
  [882/1402] arson: LOW (0.15)
  [883/1402] assault-with-deadly-weapon: LOW (0.15)
  [884/1402] attempt: LOW (0.15)
  [885/1402] attempted-murder: LOW (0.15)
  [886/1402] bad-checks: LOW (0.15)
  [887/1402] battery: LOW (0.15)
  [888/1402] bribery: LOW (0.15)
  [889/1402] burglary: LOW (0.15)
  [890/1402] child-abuse: LOW (0.15)
  [891/1402] child-endangerment: LOW (0.15)
  [892/1402] child-exploitation: LOW (0.15)
  [893/1402] concealed-carry-violation: LOW (0.15)
  [894/1402] conspiracy: LOW (0.15)
  [895/1402] contempt-of-court: LOW (0.15)
  [896/1402] counterfeiting: LOW (0.15)
  [897/1402] credit-card-fraud: LOW (0.15)
  [898/1402] criminal-mischief: LOW (0.15)
  [899/1402] criminal-threat: LOW (0.15)
  [900/1402] disorderly-conduct: LOW (0.15)
  [901/1402] domestic-battery: LOW (0.15)
  [902/1402] domestic-violence: LOW (0.15)
  [903/1402] driving-on-suspended: LOW (0.15)
  [904/1402] drug-distribution: LOW (0.15)
  [905/1402] drug-manufacturing: LOW (0.15)
  [906/1402] drug-paraphernalia: LOW (0.15)
  [907/1402] drug-possession: LOW (0.15)
  [908/1402] drug-possession-cocaine: LOW (0.15)
  [909/1402] drug-possession-marijuana: LOW (0.15)
  [910/1402] drug-possession-meth: LOW (0.15)
  [911/1402] drug-possession-with-intent: LOW (0.15)
  [912/1402] drug-trafficking: LOW (0.15)
  [913/1402] dui-drugs: LOW (0.15)
  [914/1402] dui-dwi: LOW (0.15)
  [915/1402] dui-first-offense: LOW (0.15)
  [916/1402] dui-repeat-offense: LOW (0.15)
  [917/1402] elder-abuse: LOW (0.15)
  [918/1402] embezzlement: LOW (0.15)
  [919/1402] escape-custody: LOW (0.15)
  [920/1402] failure-to-appear: LOW (0.15)
  [921/1402] failure-to-register: LOW (0.15)
  [922/1402] false-report: LOW (0.15)
  [923/1402] felon-in-possession: LOW (0.15)
  [924/1402] fleeing-eluding: LOW (0.15)
  [925/1402] forgery: LOW (0.15)
  [926/1402] fraud-general: LOW (0.15)
  [927/1402] grand-theft: LOW (0.15)
  [928/1402] harassment: LOW (0.15)
  [929/1402] hit-and-run: LOW (0.15)
  [930/1402] identity-theft: LOW (0.15)
  [931/1402] illegal-discharge: LOW (0.15)
  [932/1402] indecent-exposure: LOW (0.15)
  [933/1402] insurance-fraud: LOW (0.15)
  [934/1402] involuntary-manslaughter: LOW (0.15)
  [935/1402] kidnapping: LOW (0.15)
  [936/1402] money-laundering: LOW (0.15)
  [937/1402] motor-vehicle-theft: LOW (0.15)
  [938/1402] murder-first-degree: LOW (0.15)
  [939/1402] murder-second-degree: LOW (0.15)
  [940/1402] obstruction-justice: LOW (0.15)
  [941/1402] parole-violation: LOW (0.15)
  [942/1402] perjury: LOW (0.15)
  [943/1402] petty-theft: LOW (0.15)
  [944/1402] probation-violation: LOW (0.15)
  [945/1402] public-intoxication: LOW (0.15)
  [946/1402] rape: LOW (0.15)
  [947/1402] receiving-stolen-property: LOW (0.15)
  [948/1402] reckless-driving: LOW (0.15)
  [949/1402] residential-burglary: LOW (0.15)
  [950/1402] resisting-arrest: LOW (0.15)
  [951/1402] robbery: LOW (0.15)
  [952/1402] sexual-assault: LOW (0.15)
  [953/1402] shoplifting: LOW (0.15)
  [954/1402] simple-assault: LOW (0.15)
  [955/1402] solicitation-prostitution: LOW (0.15)
  [956/1402] stalking: LOW (0.15)
  [957/1402] statutory-rape: LOW (0.15)
  [958/1402] theft-larceny: LOW (0.15)
  [959/1402] trespassing: LOW (0.15)
  [960/1402] vandalism: LOW (0.15)
  [961/1402] vehicular-homicide: LOW (0.15)
  [962/1402] vehicular-manslaughter: LOW (0.15)
  [963/1402] violation-protective-order: LOW (0.15)
  [964/1402] voluntary-manslaughter: LOW (0.15)
  [965/1402] weapons-possession: LOW (0.15)

--- VA ---
  [966/1402] aggravated-assault: LOW (0.15)
  [967/1402] armed-robbery: LOW (0.15)
  [968/1402] arson: LOW (0.15)
  [969/1402] assault-with-deadly-weapon: LOW (0.15)
  [970/1402] attempted-murder: LOW (0.15)
  [971/1402] bad-checks: LOW (0.15)
  [972/1402] burglary: LOW (0.15)
  [973/1402] child-abuse: LOW (0.15)
  [974/1402] child-endangerment: LOW (0.15)
  [975/1402] child-exploitation: LOW (0.15)
  [976/1402] commercial-burglary: LOW (0.15)
  [977/1402] conspiracy: LOW (0.15)
  [978/1402] contempt-of-court: LOW (0.15)
  [979/1402] credit-card-fraud: LOW (0.15)
  [980/1402] criminal-mischief: LOW (0.15)
  [981/1402] criminal-threat: LOW (0.15)
  [982/1402] disorderly-conduct: LOW (0.15)
  [983/1402] domestic-battery: LOW (0.15)
  [984/1402] domestic-violence: LOW (0.15)
  [985/1402] driving-on-suspended: LOW (0.15)
  [986/1402] drug-distribution: LOW (0.15)
  [987/1402] drug-manufacturing: LOW (0.15)
  [988/1402] drug-paraphernalia: LOW (0.15)
  [989/1402] drug-possession: LOW (0.15)
  [990/1402] drug-possession-cocaine: LOW (0.15)
  [991/1402] drug-possession-marijuana: LOW (0.15)
  [992/1402] drug-possession-meth: LOW (0.15)
  [993/1402] drug-possession-opioids: LOW (0.15)
  [994/1402] drug-possession-with-intent: LOW (0.15)
  [995/1402] drug-trafficking: LOW (0.15)
  [996/1402] dui-drugs: LOW (0.15)
  [997/1402] dui-dwi: LOW (0.15)
  [998/1402] dui-first-offense: LOW (0.15)
  [999/1402] dui-repeat-offense: LOW (0.15)
  [1000/1402] elder-abuse: LOW (0.15)
  [1001/1402] embezzlement: LOW (0.15)
  [1002/1402] failure-to-appear: LOW (0.15)
  [1003/1402] failure-to-register: LOW (0.15)
  [1004/1402] false-report: LOW (0.15)
  [1005/1402] felon-in-possession: LOW (0.15)
  [1006/1402] fleeing-eluding: LOW (0.15)
  [1007/1402] forgery: LOW (0.15)
  [1008/1402] fraud-general: LOW (0.15)
  [1009/1402] grand-theft: LOW (0.15)
  [1010/1402] harassment: LOW (0.15)
  [1011/1402] hit-and-run: LOW (0.15)
  [1012/1402] identity-theft: LOW (0.15)
  [1013/1402] illegal-discharge: LOW (0.15)
  [1014/1402] indecent-exposure: LOW (0.15)
  [1015/1402] insurance-fraud: LOW (0.15)
  [1016/1402] involuntary-manslaughter: LOW (0.15)
  [1017/1402] kidnapping: LOW (0.15)
  [1018/1402] loitering: LOW (0.15)
  [1019/1402] money-laundering: LOW (0.15)
  [1020/1402] motor-vehicle-theft: LOW (0.15)
  [1021/1402] murder-first-degree: LOW (0.15)
  [1022/1402] murder-second-degree: LOW (0.15)
  [1023/1402] obstruction-justice: LOW (0.15)
  [1024/1402] open-container: LOW (0.15)
  [1025/1402] other: UNVERIFIED
  [1026/1402] petty-theft: LOW (0.15)
  [1027/1402] possession-prohibited-weapon: LOW (0.15)
  [1028/1402] prescription-fraud: LOW (0.15)
  [1029/1402] probation-violation: LOW (0.15)
  [1030/1402] probation-violation-substantive: LOW (0.15)
  [1031/1402] probation-violation-technical: LOW (0.15)
  [1032/1402] public-intoxication: LOW (0.15)
  [1033/1402] rape: LOW (0.15)
  [1034/1402] receiving-stolen-property: LOW (0.15)
  [1035/1402] reckless-driving: LOW (0.15)
  [1036/1402] refusing-breath-test: LOW (0.15)
  [1037/1402] residential-burglary: LOW (0.15)
  [1038/1402] resisting-arrest: LOW (0.15)
  [1039/1402] robbery: LOW (0.15)
  [1040/1402] securities-fraud: LOW (0.15)
  [1041/1402] self-defense: LOW (0.15)
  [1042/1402] sex-offense-contact: LOW (0.15)
  [1043/1402] sexual-assault: LOW (0.15)
  [1044/1402] sexual-battery: LOW (0.15)
  [1045/1402] shoplifting: LOW (0.15)
  [1046/1402] simple-assault: LOW (0.15)
  [1047/1402] solicitation-prostitution: LOW (0.15)
  [1048/1402] stalking: LOW (0.15)
  [1049/1402] statutory-rape: LOW (0.15)
  [1050/1402] trespassing: LOW (0.15)
  [1051/1402] vandalism: LOW (0.15)
  [1052/1402] vehicular-manslaughter: LOW (0.15)
  [1053/1402] violation-protective-order: LOW (0.15)
  [1054/1402] voluntary-manslaughter: LOW (0.15)
  [1055/1402] weapons-possession: LOW (0.15)
  [1056/1402] wire-fraud: LOW (0.15)

--- VT ---
  [1057/1402] aggravated-assault: LOW (0.15)
  [1058/1402] aiding-abetting: LOW (0.15)
  [1059/1402] animal-cruelty: LOW (0.15)
  [1060/1402] armed-robbery: LOW (0.15)
  [1061/1402] arson: LOW (0.15)
  [1062/1402] assault-with-deadly-weapon: LOW (0.15)
  [1063/1402] attempt: LOW (0.15)
  [1064/1402] attempted-murder: LOW (0.15)
  [1065/1402] bad-checks: LOW (0.15)
  [1066/1402] battery: LOW (0.15)
  [1067/1402] bribery: LOW (0.15)
  [1068/1402] burglary: LOW (0.15)
  [1069/1402] child-abuse: LOW (0.15)
  [1070/1402] child-endangerment: LOW (0.15)
  [1071/1402] child-exploitation: LOW (0.15)
  [1072/1402] concealed-carry-violation: LOW (0.15)
  [1073/1402] conspiracy: LOW (0.15)
  [1074/1402] contempt-of-court: LOW (0.15)
  [1075/1402] counterfeiting: LOW (0.15)
  [1076/1402] credit-card-fraud: LOW (0.15)
  [1077/1402] criminal-mischief: LOW (0.15)
  [1078/1402] criminal-threat: LOW (0.15)
  [1079/1402] disorderly-conduct: LOW (0.15)
  [1080/1402] domestic-battery: LOW (0.15)
  [1081/1402] domestic-violence: LOW (0.15)
  [1082/1402] driving-on-suspended: LOW (0.15)
  [1083/1402] drug-distribution: LOW (0.15)
  [1084/1402] drug-manufacturing: LOW (0.15)
  [1085/1402] drug-paraphernalia: LOW (0.15)
  [1086/1402] drug-possession: LOW (0.15)
  [1087/1402] drug-possession-cocaine: LOW (0.15)
  [1088/1402] drug-possession-marijuana: LOW (0.15)
  [1089/1402] drug-possession-meth: LOW (0.15)
  [1090/1402] drug-possession-with-intent: LOW (0.15)
  [1091/1402] drug-trafficking: LOW (0.15)
  [1092/1402] dui-drugs: LOW (0.15)
  [1093/1402] dui-dwi: LOW (0.15)
  [1094/1402] dui-first-offense: LOW (0.15)
  [1095/1402] dui-repeat-offense: LOW (0.15)
  [1096/1402] elder-abuse: LOW (0.15)
  [1097/1402] embezzlement: LOW (0.15)
  [1098/1402] escape-custody: LOW (0.15)
  [1099/1402] failure-to-appear: LOW (0.15)
  [1100/1402] failure-to-register: LOW (0.15)
  [1101/1402] false-report: LOW (0.15)
  [1102/1402] felon-in-possession: LOW (0.15)
  [1103/1402] fleeing-eluding: LOW (0.15)
  [1104/1402] forgery: LOW (0.15)
  [1105/1402] fraud-general: LOW (0.15)
  [1106/1402] grand-theft: LOW (0.15)
  [1107/1402] harassment: LOW (0.15)
  [1108/1402] hit-and-run: LOW (0.15)
  [1109/1402] identity-theft: LOW (0.15)
  [1110/1402] illegal-discharge: LOW (0.15)
  [1111/1402] indecent-exposure: LOW (0.15)
  [1112/1402] insurance-fraud: LOW (0.15)
  [1113/1402] involuntary-manslaughter: LOW (0.15)
  [1114/1402] kidnapping: LOW (0.15)
  [1115/1402] money-laundering: LOW (0.15)
  [1116/1402] motor-vehicle-theft: LOW (0.15)
  [1117/1402] murder-first-degree: LOW (0.15)
  [1118/1402] murder-second-degree: LOW (0.15)
  [1119/1402] obstruction-justice: LOW (0.15)
  [1120/1402] parole-violation: LOW (0.15)
  [1121/1402] perjury: LOW (0.15)
  [1122/1402] petty-theft: LOW (0.15)
  [1123/1402] probation-violation: LOW (0.15)
  [1124/1402] public-intoxication: LOW (0.15)
  [1125/1402] rape: LOW (0.15)
  [1126/1402] receiving-stolen-property: LOW (0.15)
  [1127/1402] reckless-driving: LOW (0.15)
  [1128/1402] residential-burglary: LOW (0.15)
  [1129/1402] resisting-arrest: LOW (0.15)
  [1130/1402] robbery: LOW (0.15)
  [1131/1402] sexual-assault: LOW (0.15)
  [1132/1402] shoplifting: LOW (0.15)
  [1133/1402] simple-assault: LOW (0.15)
  [1134/1402] solicitation-prostitution: LOW (0.15)
  [1135/1402] stalking: LOW (0.15)
  [1136/1402] statutory-rape: LOW (0.15)
  [1137/1402] theft-larceny: LOW (0.15)
  [1138/1402] trespassing: LOW (0.15)
  [1139/1402] vandalism: LOW (0.15)
  [1140/1402] vehicular-homicide: LOW (0.15)
  [1141/1402] vehicular-manslaughter: LOW (0.15)
  [1142/1402] violation-protective-order: LOW (0.15)
  [1143/1402] voluntary-manslaughter: LOW (0.15)
  [1144/1402] weapons-possession: LOW (0.15)

--- WA ---
  [1145/1402] aggravated-assault: LOW (0.15)
  [1146/1402] aiding-abetting: LOW (0.15)
  [1147/1402] animal-cruelty: LOW (0.15)
  [1148/1402] armed-robbery: LOW (0.15)
  [1149/1402] arson: LOW (0.15)
  [1150/1402] assault-with-deadly-weapon: LOW (0.15)
  [1151/1402] attempt: LOW (0.15)
  [1152/1402] attempted-murder: LOW (0.15)
  [1153/1402] battery: LOW (0.15)
  [1154/1402] bribery: LOW (0.15)
  [1155/1402] burglary: LOW (0.15)
  [1156/1402] child-abuse: LOW (0.15)
  [1157/1402] child-endangerment: LOW (0.15)
  [1158/1402] credit-card-fraud: LOW (0.15)

--- WI ---
  [1159/1402] child-abuse: LOW (0.15)
  [1160/1402] child-endangerment: LOW (0.15)
  [1161/1402] child-exploitation: LOW (0.15)
  [1162/1402] concealed-carry-violation: LOW (0.15)
  [1163/1402] conspiracy: LOW (0.15)
  [1164/1402] contempt-of-court: LOW (0.15)
  [1165/1402] credit-card-fraud: LOW (0.15)
  [1166/1402] criminal-mischief: LOW (0.15)
  [1167/1402] criminal-threat: LOW (0.15)
  [1168/1402] disorderly-conduct: LOW (0.15)
  [1169/1402] domestic-battery: LOW (0.15)
  [1170/1402] domestic-violence: LOW (0.15)
  [1171/1402] driving-on-suspended: LOW (0.15)
  [1172/1402] drug-distribution: LOW (0.15)
  [1173/1402] drug-manufacturing: LOW (0.15)
  [1174/1402] drug-paraphernalia: LOW (0.15)
  [1175/1402] drug-possession: LOW (0.15)
  [1176/1402] drug-possession-cocaine: LOW (0.15)
  [1177/1402] drug-possession-marijuana: LOW (0.15)
  [1178/1402] drug-possession-meth: LOW (0.15)
  [1179/1402] drug-possession-with-intent: LOW (0.15)
