=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  440M lines, 1135887 records, 868 matched, 224902 lines/sec (32.6 min)
  445M lines, 1146121 records, 876 matched, 224984 lines/sec (33.0 min)
  450M lines, 1156116 records, 898 matched, 225116 lines/sec (33.3 min)
  455M lines, 1167345 records, 928 matched, 224949 lines/sec (33.7 min)
  460M lines, 1178631 records, 941 matched, 224887 lines/sec (34.1 min)
  465M lines, 1190209 records, 950 matched, 224714 lines/sec (34.5 min)
  470M lines, 1201515 records, 970 matched, 224578 lines/sec (34.9 min)
  475M lines, 1211546 records, 980 matched, 224676 lines/sec (35.2 min)
  480M lines, 1219998 records, 989 matched, 225207 lines/sec (35.5 min)
  1000 records matched, 1225519 records scanned (35.8 min)
  485M lines, 1228696 records, 1005 matched, 225446 lines/sec (35.9 min)
  490M lines, 1238056 records, 1014 matched, 225485 lines/sec (36.2 min)
  495M lines, 1248928 records, 1036 matched, 225983 lines/sec (36.5 min)
  500M lines, 1260267 records, 1056 matched, 225538 lines/sec (36.9 min)
  505M lines, 1271217 records, 1076 matched, 225412 lines/sec (37.3 min)
  510M lines, 1281988 records, 1096 matched, 225277 lines/sec (37.7 min)
  515M lines, 1293000 records, 1116 matched, 225025 lines/sec (38.1 min)
  520M lines, 1304353 records, 1135 matched, 225082 lines/sec (38.5 min)
  525M lines, 1314758 records, 1153 matched, 224627 lines/sec (39.0 min)
  530M lines, 1356914 records, 1173 matched, 222837 lines/sec (39.6 min)
  535M lines, 1415042 records, 1185 matched, 220622 lines/sec (40.4 min)
  540M lines, 1456996 records, 1189 matched, 218784 lines/sec (41.1 min)
  545M lines, 1522525 records, 1195 matched, 215595 lines/sec (42.1 min)
  550M lines, 1594273 records, 1212 matched, 210758 lines/sec (43.5 min)
  555M lines, 1640908 records, 1218 matched, 210040 lines/sec (44.0 min)
  560M lines, 1686926 records, 1223 matched, 209339 lines/sec (44.6 min)
  565M lines, 1755128 records, 1232 matched, 208058 lines/sec (45.3 min)
  570M lines, 1828311 records, 1256 matched, 205024 lines/sec (46.3 min)
  575M lines, 1860942 records, 1313 matched, 203968 lines/sec (47.0 min)
  580M lines, 1896959 records, 1330 matched, 202763 lines/sec (47.7 min)
