SENTTOT,SENSPLT0,DISTRICT,MONSEX,OFFGUIDE,SENTRNGE,XCRHISSR
2.33,2.33,42,0,17,0,1
,0,70,1,17,0,1
2.82,2.82,42,0,17,0,1
46,46,47,1,16,2,1
,0,70,1,17,3,1
12.03,12.03,70,0,17,3,2
,0,42,0,17,0,1
30,30,66,0,13,0,5
4,4,70,1,17,3,1
0.03,0.03,48,0,10,7,6
5.95,5.95,70,0,17,3,2
13.03,13.03,74,0,17,3,5
18,18,9,0,13,7,3
41,41,88,0,17,0,6
0.16,0.16,70,1,17,2,1
71,71,30,0,13,1,3
120,120,66,0,10,2,6
120,120,56,0,10,0,2
9.43,9.43,70,0,17,3,3
240,240,87,0,13,8,6
30,30,66,0,13,0,3
40,40,42,1,10,8,1
0.03,0.03,88,0,17,0,1
4.17,4.17,70,0,17,3,2
120,120,78,0,10,7,3
,0,40,0,16,7,1
2.26,2.26,42,0,17,0,1
,0,70,0,17,3,1
2.26,2.26,88,0,13,7,6
,6,42,0,17,8,1
2.69,2.69,42,0,17,0,1
246,246,56,0,10,0,2
46,46,88,0,13,7,6
2.89,2.89,70,0,17,0,1
68,68,10,0,10,2,1
6.11,6.11,70,0,17,0,2
16,16,41,1,13,0,3
30,30,70,1,4,8,1
60,60,88,1,10,7,3
24,24,70,0,13,6,1
51,51,78,0,16,2,1
,0,12,0,1,0,5
60.03,60.03,81,0,10,8,1
28,28,70,1,10,3,1
3.58,3.58,70,1,30,0,3
6,6,70,0,17,3,1
18,18,70,0,17,0,3
13.03,13.03,70,0,17,3,2
33,33,79,0,10,2,1
108,108,50,0,13,7,6
15,15,74,0,17,3,4
70,70,79,0,10,2,1
21,21,74,0,10,4,1
12.03,12.03,74,0,17,3,5
30,30,70,0,10,2,1
37,37,78,0,10,8,1
57,57,73,0,10,2,4
11.53,11.53,74,0,10,3,1
24,24,78,0,13,8,2
0.03,0.03,70,0,17,0,3
15,15,38,0,17,0,2
46,46,70,0,4,0,3
120,120,81,0,7,0,2
18,18,70,0,17,3,5
24,24,70,1,16,0,1
79,79,54,0,4,0,3
,0,42,0,17,0,1
0.03,0.03,42,0,17,0,1
46,46,25,0,10,0,3
20,20,70,0,10,3,6
3.91,3.91,70,0,17,3,1
15,15,74,0,13,4,3
160,160,22,0,7,8,2
121,121,40,0,7,0,1
67,67,41,0,10,2,1
2.92,2.92,70,0,17,0,1
0.03,0.03,71,0,10,7,1
,0,7,0,27,8,1
0.03,0.03,7,0,10,8,1
57,57,7,0,13,0,5
0.03,0.03,7,1,10,2,3
120,120,7,0,22,2,3
6.1,6.1,42,0,17,0,1
60,60,7,0,7,8,1
65,65,7,0,26,0,1
90,90,52,0,10,0,6
4.13,4.13,7,0,16,2,3
,0,17,0,30,0,1
0.03,0.03,52,0,16,7,3
37,37,20,0,17,0,3
80,80,18,0,7,8,1
18,18,18,0,25,0,4
10,10,18,1,25,0,1
24,24,74,1,10,3,1
34,34,18,0,13,0,3
63.72,63.72,74,0,13,4,6
85,85,42,0,10,2,3
72,72,18,0,13,7,5
16,16,74,0,10,4,5
0.03,0.03,65,0,16,8,1
,0,65,0,16,7,1
108,108,18,1,10,8,1
18,18,18,0,13,8,1
188,188,18,0,10,0,6
18,18,18,0,4,7,2
109,109,38,0,10,0,2
120,120,17,1,10,0,2
33,33,18,0,13,0,4
64,64,18,0,13,0,3
46,46,42,0,10,0,3
6,6,84,1,10,7,1
14,14,65,1,10,2,2
0.03,0.03,44,0,17,0,1
27,27,41,1,17,7,5
70,70,20,0,10,8,3
15,15,41,0,17,7,1
24,24,40,0,17,0,3
,0,74,0,1,4,1
151,151,18,0,10,0,4
,12,78,0,29,7,1
27,27,72,0,13,0,2
,0,73,0,10,2,1
180,180,41,0,27,8,2
180,180,1,0,7,0,1
3.15,3.15,70,0,17,3,1
13,13,0,0,13,8,3
15,15,70,0,17,3,3
4.66,10.66,74,1,10,3,1
5.32,5.32,74,0,10,3,1
4.01,4.01,70,0,17,0,1
96,96,71,0,16,6,1
120,120,4,0,10,0,1
0.03,0.03,26,0,13,0,2
24,24,74,0,17,0,4
168,168,29,0,16,0,1
14,14,56,0,17,0,3
51,51,39,0,10,8,3
21,21,70,0,17,0,5
96,96,70,0,4,1,2
10,10,70,0,17,3,4
12.03,12.03,70,0,17,3,4
108,108,82,0,13,8,6
24,24,70,0,17,3,4
6,6,70,0,17,3,2
46,46,39,0,13,8,2
12.03,12.03,70,0,17,3,3
0.03,0.03,15,0,10,2,3
10,10,74,0,17,4,2
6,6,15,1,16,0,4
151,151,85,1,10,0,6
78,78,43,0,10,2,4
60,60,85,1,26,4,2
36,36,42,0,17,2,1
57,57,88,0,13,0,2
20,20,42,0,17,6,3
120,120,85,1,10,0,3
21,21,42,1,17,0,1
14,14,42,0,17,6,1
8.67,8.67,70,0,17,3,4
46,46,72,0,13,0,5
62,62,1,1,16,8,2
204,204,79,0,10,0,4
70,70,40,0,10,0,1
36,36,42,1,17,0,1
10,10,41,0,17,0,3
4.07,4.07,41,0,17,3,2
,0,70,0,29,8,1
180,180,56,0,10,7,6
24,24,72,1,10,8,1
5.09,5.09,74,0,10,3,1
12.03,12.03,69,0,13,0,2
0.03,0.03,69,0,1,5,2
135,135,69,0,27,0,1
12.03,12.03,69,0,13,8,1
46,46,88,1,10,7,4
26,26,72,0,13,8,3
262,262,90,0,27,8,4
,8,9,0,13,2,1
12.03,12.03,90,0,4,8,1
12.03,12.03,41,0,4,5,1
128,128,69,0,20,0,3
6,6,41,1,17,3,3
,6,90,1,5,2,1
120,120,75,0,10,8,3
60,60,41,1,16,0,1
17.76,17.76,41,0,17,0,3
18,18,41,0,17,0,2
37,37,41,0,10,0,1
60,60,65,0,13,7,3
18.33,18.33,41,0,17,5,2
54,54,65,0,13,0,5
,24,20,0,16,2,1
54,54,60,0,13,8,3
8,8,42,0,17,6,1
27,27,74,0,10,3,1
30,30,79,0,10,2,1
,0,41,1,16,2,1
6.69,6.69,74,0,17,3,3
4.82,4.82,70,0,17,0,2
8,8,42,0,17,6,1
8,8,42,0,30,6,1
8,8,42,1,30,6,1
8,8,42,1,30,6,1
3.89,3.89,78,0,17,3,2
0.03,0.03,19,0,17,0,2
24,24,76,0,16,8,1
37,37,19,0,13,0,3
15,15,42,0,17,0,4
15,15,84,0,17,3,3
52,52,66,0,13,0,5
180,180,76,0,19,7,1
180,180,67,0,10,0,2
,0,78,1,10,2,6
168,168,31,0,19,8,1
120,120,1,0,10,7,1
188,188,30,0,10,7,1
34,34,78,0,16,7,1
,0,42,1,17,0,1
0.13,0.13,42,1,16,8,1
87,87,46,0,10,0,3
18,18,42,0,17,0,1
4,4,42,1,17,,
4.59,4.59,42,0,17,0,1
5,5,42,0,17,,
60,60,70,0,10,0,2
40,40,55,0,13,7,4
28,28,16,0,21,2,1
168,168,19,0,10,8,4
,0,42,0,17,0,1
6,6,42,0,17,,
8,8,42,0,30,6,1
10,10,42,0,30,6,1
5,5,42,0,17,,
5,5,42,1,17,,
15,15,74,0,17,3,2
78,78,7,0,10,8,4
210,210,7,0,27,4,1
18,18,7,0,10,4,1
63,63,7,0,21,8,1
14,14,7,0,13,8,2
,0,44,0,16,0,1
90,90,31,0,7,8,1
60,60,7,0,10,8,2
96,96,29,0,10,2,6
63,63,78,0,13,7,1
12.03,12.03,7,0,13,8,3
68,68,48,0,10,2,3
24,24,7,0,13,8,3
43,43,7,0,4,2,4
6,6,31,0,17,0,1
20,20,78,1,4,7,6
12.03,12.03,29,0,18,8,1
48,48,9,0,10,0,6
27,27,78,0,16,8,1
105,105,84,0,4,0,6
18,18,9,0,10,7,3
51,51,18,0,17,0,6
30,30,70,0,16,,
97,97,18,0,26,0,1
180,180,18,0,13,0,4
21,21,74,0,10,2,2
470,470,7,0,22,0,6
235,235,32,0,27,8,1
18,18,31,0,17,0,2
6,6,74,1,1,0,1
210,210,48,0,7,0,1
12.03,12.03,87,0,17,8,3
16.03,16.03,74,1,10,3,6
36,36,74,0,10,2,1
28,28,74,0,21,2,1
18,18,18,0,10,8,1
9,9,74,0,17,3,4
46,46,18,0,10,0,3
24,24,74,1,10,3,1
21,21,74,0,17,8,3
28,40,78,0,21,8,1
,0,25,0,13,8,3
12.03,12.03,9,1,16,7,1
0.03,0.03,74,0,17,3,6
204,204,31,0,19,8,2
12.03,12.03,74,1,16,2,1
17,17,74,0,10,3,1
4,4,74,1,10,2,1
120,120,18,0,7,0,4
0.23,0.23,74,0,10,3,1
70,70,18,0,10,7,1
41,41,74,0,17,3,4
132,132,90,0,26,0,5
0.03,0.03,6,0,17,0,1
12.03,12.03,41,0,16,8,3
252,252,18,0,10,2,1
46,46,48,0,13,0,4
70,70,30,0,10,0,1
57,57,41,0,13,0,3
16,16,52,0,16,8,2
75,75,52,0,7,7,1
70,70,30,0,10,2,1
60,60,17,0,13,0,3
18.1,18.1,6,0,17,0,1
90,90,18,0,7,8,1
12.03,12.03,78,1,17,3,4
27,27,78,1,13,0,5
102,102,91,0,10,0,6
24,24,74,0,10,4,1
5.22,5.22,74,0,17,8,3
4,4,6,0,17,8,1
16,16,74,0,17,3,6
57,57,4,0,10,7,1
13,13,74,0,17,3,2
30,30,74,0,10,4,1
235,235,31,0,13,0,6
4.11,4.11,74,0,17,3,3
24,24,78,0,10,7,1
195,195,78,0,10,8,2
15,15,74,0,17,3,2
12.03,12.03,74,1,10,3,1
0.79,12.79,74,0,10,2,1
72,72,74,0,10,4,4
6,6,74,1,10,3,1
0.03,0.03,74,0,17,0,1
4,4,74,0,17,3,3
36,36,74,0,10,4,2
0.03,0.03,74,0,17,3,2
6,6,74,1,17,3,1
5.32,5.32,74,0,17,3,2
13.03,13.03,74,0,17,3,2
46,46,74,0,10,4,3
4.66,4.66,74,1,17,3,1
,0,20,0,16,8,3
12.03,12.03,70,0,17,7,1
21,21,70,0,24,0,3
108,108,73,0,10,0,1
262,262,72,0,7,0,3
7.13,7.13,74,0,17,0,1
0.03,0.03,74,1,17,3,2
0.03,0.03,74,0,17,0,1
180,180,49,0,7,0,5
108,108,17,0,10,2,6
108,108,49,0,26,0,6
180,180,17,0,7,0,3
84,84,57,0,10,8,6
108,108,57,0,10,8,5
46,46,74,0,10,3,2
120,120,49,1,10,2,2
156,156,17,1,10,2,2
24,24,69,0,4,0,2
10,10,74,0,10,3,1
24,24,74,1,10,3,1
48,48,57,0,10,8,1
300,300,16,0,27,8,2
160,160,49,1,10,2,6
36,36,74,0,10,4,1
30,30,74,0,10,3,1
37,37,74,0,10,3,2
12.03,12.03,74,0,17,5,2
6,6,74,0,17,3,2
18,18,74,1,10,4,4
,0,78,1,16,7,1
37,37,74,0,10,8,1
0.46,6.46,41,1,17,8,1
97,97,19,0,10,8,3
,0,42,0,17,0,1
12.03,12.03,74,0,17,4,2
10,10,74,0,21,1,1
7,7,74,0,17,3,1
18,18,22,0,16,8,1
31.9,31.9,41,0,10,2,1
52,52,24,0,10,0,3
92,92,13,0,13,0,5
,0,24,0,10,8,1
37,37,47,0,13,0,4
0.99,0.99,89,0,24,8,3
2.99,2.99,42,0,17,0,1
90,90,41,0,26,8,1
0.62,6.62,41,0,21,8,1
,4,41,0,17,8,2
33,33,74,0,8,4,1
68,68,35,0,13,0,5
120,120,47,0,26,8,6
5.72,5.72,41,0,17,0,1
51,51,65,0,10,0,1
168,168,24,0,10,0,3
44,44,74,0,10,4,6
14,14,41,0,17,0,3
18,18,41,0,17,8,3
30,30,41,0,13,0,3
4.59,4.59,42,0,17,0,1
204,204,39,0,13,0,6
15,15,41,0,17,8,3
0.03,0.03,84,1,10,2,1
72,72,41,0,10,2,5
6,6,84,0,17,3,2
8.51,8.51,41,0,17,6,1
2,2,70,0,17,3,1
40,40,37,0,10,1,4
21,21,37,0,24,0,2
60,60,19,0,13,0,1
60,60,12,0,10,0,3
,0,31,0,13,8,1
78,78,31,0,10,8,2
2,2,73,0,21,2,1
126,126,39,0,10,0,6
18,18,20,1,13,8,1
0.03,0.03,31,0,17,,
0.03,0.03,93,1,10,2,1
5.19,5.19,74,0,17,3,4
470,470,18,0,27,0,3
75,75,39,0,13,0,6
120,120,20,0,10,0,4
28,28,71,0,13,7,6
24,24,74,0,10,5,1
8,8,74,1,10,3,1
26.56,26.56,12,0,13,0,3
135,135,73,0,10,8,3
120,120,79,0,13,6,4
240,240,32,0,27,7,2
41,41,77,1,13,0,6
50,50,77,0,10,7,6
470,470,79,0,22,0,4
0.03,0.03,19,0,17,,
6,6,22,0,17,8,2
,0,5,0,10,8,1
21,21,12,0,16,0,1
38,38,77,0,20,0,3
120,120,46,0,7,0,2
18,18,42,0,17,0,3
16,16,39,0,13,0,1
37,37,42,0,10,0,1
41,41,85,0,4,0,3
456,456,85,0,27,4,1
0.03,0.03,70,0,10,3,1
24,24,70,0,17,0,6
108,108,44,0,10,2,6
200,200,54,0,10,2,2
12,12,54,0,17,0,2
18,18,41,0,17,8,3
100,100,54,0,10,7,6
24,24,76,0,1,0,1
132,132,56,0,10,7,1
,0,58,0,16,7,1
8,8,41,0,17,0,2
37.62,37.62,41,0,10,2,1
4,4,41,0,17,0,2
,0,58,0,29,8,1
30,30,50,0,13,7,4
10,10,70,0,17,8,3
51,51,79,0,10,7,2
42,42,83,1,13,2,6
12.03,12.03,41,0,21,8,1
12,12,52,1,16,8,1
3.16,3.16,70,1,17,0,1
36,36,50,0,13,8,6
470,470,85,0,27,0,1
180,180,38,0,10,7,6
0.03,0.03,74,0,17,0,1
0.03,0.03,70,0,17,8,1
130,130,27,0,13,0,5
41,41,27,1,10,2,2
150,150,39,0,10,0,5
151,151,38,0,10,0,2
3.95,3.95,42,0,17,0,1
12.03,12.03,42,1,1,8,1
6.13,6.13,42,0,25,0,2
0.03,0.03,53,0,13,7,2
72,72,64,0,13,0,5
120,120,33,1,10,2,4
51,51,41,1,10,0,1
228,228,61,0,10,7,2
60,60,42,0,25,6,3
6.72,6.72,42,0,17,0,1
36,36,64,0,10,8,2
0.03,0.03,48,0,10,4,3
180,180,33,0,10,8,5
8,8,42,0,17,8,1
150,150,61,0,10,2,6
,0,42,0,17,0,1
250,250,9,0,10,6,2
96,96,9,0,27,8,4
121,121,67,0,10,8,2
470,470,66,0,27,0,1
46,46,42,0,8,0,2
130,130,9,1,28,8,1
18,18,27,0,24,0,3
168,168,9,0,27,0,1
24,24,39,0,10,2,1
,0,42,0,17,0,1
,0,42,0,17,0,1
12.03,12.03,41,0,1,0,1
46,46,9,0,10,0,1
54,54,56,0,13,8,3
60,60,17,0,10,7,5
,8,22,1,16,0,1
42,42,39,0,17,6,4
,0,70,0,17,3,3
8.51,8.51,41,0,17,6,1
46,46,88,0,10,0,1
13.36,13.36,88,0,10,7,1
12.03,12.03,42,0,17,8,3
2.92,2.92,42,0,17,0,1
60,60,4,0,7,0,1
15,15,41,1,17,7,5
27,27,22,0,16,0,1
2.53,2.53,42,0,17,0,1
1.03,1.03,70,0,17,3,3
63,63,42,0,13,0,6
30,30,70,0,17,3,6
24,24,42,0,13,2,1
18,18,70,0,10,3,1
18,18,88,0,13,0,1
84,84,4,0,26,0,1
37,37,42,0,13,0,3
24,24,42,0,10,8,1
16,16,70,0,6,3,6
14.36,14.36,70,1,10,3,1
21,21,70,1,17,3,5
70,70,51,0,10,8,1
12.03,12.03,70,1,17,3,1
40,40,15,0,13,0,3
60,60,31,0,13,0,1
7,7,84,0,17,3,2
15,15,51,1,16,0,1
120,120,15,0,21,2,1
2.33,2.33,41,0,17,0,1
180,180,33,0,7,8,6
64,64,64,0,20,1,4
15,15,41,0,17,0,2
,0,91,0,1,0,1
1.82,1.82,42,0,17,0,1
30,30,37,0,13,0,3
,0,81,0,16,0,3
36,36,65,0,10,2,2
30,30,41,1,17,3,1
21,21,41,0,17,3,1
108,108,9,0,10,8,1
60,60,22,1,27,7,3
72,72,30,0,10,0,3
18,18,42,0,13,0,3
46,46,88,1,10,7,1
24,24,34,0,10,8,1
,0,90,0,16,2,1
46,46,60,1,10,0,1
,0,41,1,17,3,1
37,37,11,0,13,0,3
8,8,30,0,16,8,1
30,30,5,0,13,0,1
72,72,65,0,13,8,2
51,51,30,0,10,8,1
74,74,30,0,13,2,2
210,210,30,0,12,0,2
72,72,65,1,10,2,1
,0,31,1,16,0,1
63,63,30,0,10,8,1
180,180,33,0,13,0,5
51,51,70,0,16,0,2
120,120,60,0,7,0,2
48,48,15,0,10,7,2
102,102,39,0,10,8,3
,0,39,0,13,8,1
78,78,18,0,13,0,5
15,15,41,0,13,0,2
,0,65,1,16,8,1
97,97,90,0,7,8,6
84,84,27,0,13,0,6
108,108,33,0,10,6,5
8,8,41,0,17,0,2
50,50,42,0,10,2,1
5,10,41,1,13,0,1
13,13,41,0,13,0,1
6,6,41,1,17,0,1
,0,60,0,10,8,1
8,8,41,0,17,5,3
9,9,41,0,17,0,1
40,40,33,0,13,8,2
180,180,39,0,10,2,1
108,108,4,0,21,0,1
60,60,65,0,13,0,4
15,15,30,0,16,0,1
20,20,88,0,13,0,2
6,6,41,0,17,8,2
,0,74,0,17,3,1
33,33,17,0,16,0,2
108,108,77,0,7,0,1
60,60,76,0,28,1,1
60,60,39,0,10,0,2
3.62,3.62,67,0,17,3,3
72,72,62,1,10,8,1
0.1,0.1,35,0,16,0,1
7.49,7.49,84,0,17,3,3
64,64,13,0,13,0,3
37,37,77,0,13,0,3
2.62,2.62,84,0,17,3,2
6,6,84,0,17,0,1
33,33,84,0,13,0,2
18,18,84,0,17,3,3
27,27,84,0,13,0,2
13.39,13.39,49,0,10,2,2
72,72,34,0,10,2,6
27,27,88,0,13,0,5
21,21,12,0,13,0,3
84,84,56,0,13,0,6
87,87,34,0,10,0,1
4.89,4.89,32,0,17,0,1
48,48,20,1,10,2,2
0.03,0.03,20,0,10,2,2
0.33,0.33,22,0,30,0,1
235,235,20,0,10,8,2
105,105,34,0,13,0,6
84,84,26,0,10,7,1
360,360,46,0,10,0,6
30,30,14,0,10,0,1
30,30,14,0,13,5,4
54,54,19,1,16,8,1
40,40,43,0,18,2,1
6.66,6.66,70,0,13,2,1
0.69,0.69,80,0,17,8,3
,5,47,0,5,7,1
14,14,51,1,10,0,1
46,46,39,0,13,8,4
8,8,70,0,17,3,1
8,8,67,0,17,3,3
6.89,6.89,70,0,17,0,1
6.93,6.93,51,0,17,0,1
57,57,24,0,13,0,4
180,180,66,0,13,7,6
51,51,79,0,13,7,3
18,18,47,0,13,7,2
48,48,79,0,10,2,3
19.76,19.76,13,0,13,2,3
0.03,0.03,71,0,10,7,1
110,110,79,0,10,7,4
,0,4,0,17,8,2
10,10,4,0,17,0,3
5.23,5.23,42,0,17,0,1
140,140,67,0,7,7,1
2.49,2.49,42,1,17,0,1
30,30,67,0,17,3,3
18,18,42,0,17,0,3
3.19,3.19,70,0,17,0,1
70,70,42,0,10,0,3
141,141,47,0,26,0,5
6,6,42,0,17,0,1
5.26,5.26,42,0,17,0,1
8,8,70,0,17,3,3
0.03,0.03,42,0,17,0,1
42,42,9,0,10,8,3
6.72,6.72,42,0,17,0,1
5.92,5.92,42,0,17,0,1
15,15,58,0,16,7,1
0.07,0.07,71,0,10,7,1
,0,56,0,13,8,1
2.62,2.62,42,0,17,0,1
8,8,42,1,17,0,1
12.03,12.03,42,0,10,8,1
35,35,55,0,13,7,3
2.85,2.85,42,0,17,0,1
96,96,80,0,7,8,1
3.91,3.91,70,0,17,3,1
7.2,7.2,42,0,17,0,1
12.03,12.03,42,0,17,8,2
6.36,6.36,42,0,17,0,1
120,120,62,0,10,2,2
72,72,64,0,10,8,2
10,10,70,0,25,0,3
40,40,34,1,10,0,1
36,36,88,1,10,7,4
84,84,55,0,13,0,6
0.03,0.03,67,0,17,3,3
0.33,0.33,94,0,17,0,1
0.33,0.33,94,1,17,0,1
,0,83,1,16,0,1
30,30,67,0,16,0,1
99,99,4,0,10,7,3
3.03,3.03,42,0,17,0,1
0.33,0.33,94,0,17,0,1
27,27,42,0,10,0,2
0.03,0.03,88,0,17,3,2
2.46,2.46,42,1,17,0,1
14,14,70,0,17,3,2
37,37,79,0,26,0,3
,0,66,0,10,7,1
12.03,12.03,88,0,13,0,1
0.03,0.03,12,0,10,2,1
42,42,56,0,17,6,3
18,18,27,0,13,8,1
36,36,27,0,16,8,6
240,240,17,0,22,0,6
,8,34,0,10,0,2
6,6,70,0,17,3,2
12.03,12.03,70,0,17,3,3
96,96,15,0,10,7,6
100,100,37,0,10,2,2
12,12,31,0,17,6,2
13,13,39,0,17,0,2
144,144,26,0,21,0,6
0.03,0.03,76,0,17,3,2
87,87,61,0,10,2,3
73,73,41,0,17,0,5
46,46,42,0,17,0,5
72,72,1,0,21,7,1
12,12,7,0,5,8,1
46,46,42,0,23,0,1
21,21,42,1,17,0,3
,0,42,0,17,0,1
24,24,42,1,17,0,1
120,120,39,0,13,0,6
27,27,42,0,17,0,5
60,60,7,0,7,8,1
10,10,42,0,17,0,1
30,30,42,0,17,0,3
432,432,5,0,22,2,1
27,27,42,0,17,0,2
51,51,42,0,17,0,3
33,33,71,0,15,8,4
70,70,83,0,10,2,4
,0,4,0,16,0,1
12,12,42,0,17,6,1
33,33,9,0,16,0,4
36,36,27,0,10,2,1
7.66,7.66,42,0,17,0,2
24,24,30,0,29,8,1
4,4,74,0,21,4,1
7.62,7.62,42,0,17,0,1
292,292,42,0,10,2,6
60,60,80,0,4,6,1
,0,4,0,16,4,1
37,37,4,0,16,0,1
18,18,41,0,17,5,4
300,300,66,0,22,8,1
78,78,66,0,10,0,1
30,30,66,0,13,0,1
,0,81,0,16,0,1
18,18,79,0,10,2,3
57,57,49,0,13,0,3
27,27,70,0,17,3,5
16,16,42,0,17,0,3
48,48,15,0,10,2,2
8,8,42,0,17,0,2
27,27,49,0,13,0,5
33,33,82,0,13,0,6
,0,68,1,16,0,1
21,21,42,0,13,0,4
12.03,12.03,9,0,17,8,2
97,97,31,0,10,0,2
96,96,60,0,7,6,1
21,21,49,1,16,2,4
4.1,4.1,31,0,17,0,1
22,22,82,0,5,2,1
46,46,4,0,10,0,1
63,63,22,0,7,8,1
28,28,15,0,10,2,3
12.03,12.03,31,0,17,0,1
18,18,42,0,10,0,1
252,252,44,0,10,2,6
12.03,12.03,42,0,17,0,2
37,37,42,0,17,0,3
60,60,56,0,10,0,4
10,10,14,1,16,0,1
33,33,79,0,10,7,1
2.79,2.79,84,0,17,0,1
,0,34,0,10,8,1
84,84,30,0,7,8,1
13,13,84,0,17,3,4
12,12,31,0,17,0,3
108,108,4,0,10,7,5
14,14,31,0,17,2,2
72,72,14,0,10,2,6
180,180,22,0,7,2,3
14,14,27,0,28,0,2
,3,11,0,17,0,3
21,21,17,0,17,0,2
6,6,74,0,17,3,2
68,68,22,0,16,0,5
6,6,84,0,17,8,2
111,111,30,0,26,8,1
6,6,42,0,17,0,2
65,65,31,0,16,2,1
97,97,30,0,10,7,1
240,240,33,0,27,6,2
48,48,19,0,10,8,3
37.23,37.23,30,0,10,2,1
108,108,30,0,10,0,3
55,55,71,0,13,8,5
21,21,4,0,13,0,3
120,120,54,0,10,8,1
,0,96,1,16,8,1
48,48,6,0,10,8,2
360,360,56,0,27,0,4
96,96,61,0,13,6,3
216,216,60,0,7,0,1
51,51,30,0,10,0,1
18,18,60,0,16,2,2
90,90,5,0,10,0,3
120,120,74,0,10,4,3
70,70,30,0,10,0,1
96,96,60,1,13,8,5
24,24,74,0,10,3,1
60,60,33,0,10,6,3
30,30,75,0,13,0,1
24,24,88,0,10,7,1
70,70,66,0,10,2,5
28,28,37,0,13,8,4
64,64,37,0,10,2,6
24,24,34,1,10,0,5
,0,6,1,16,4,1
37,37,84,0,17,0,3
210,210,65,0,10,7,5
18,18,74,0,10,3,1
108,108,60,0,13,0,6
18,18,22,0,16,8,5
144,144,12,0,7,2,3
21,21,6,0,10,7,3
60,60,4,0,10,8,2
150,150,64,0,10,4,4
600,600,48,0,27,0,1
46,46,78,0,4,0,2
57,57,84,1,17,3,5
46,46,19,0,10,4,2
30,30,73,0,29,0,1
6,6,52,0,17,0,1
36,36,74,0,10,3,2
100,100,17,0,13,0,4
30,30,32,0,16,8,1
12.91,12.91,77,0,10,8,1
12.03,12.03,77,1,10,8,1
69,69,38,0,10,8,2
120,120,16,0,22,0,2
0.72,0.72,77,0,13,8,3
6,6,74,0,17,3,3
0.07,0.07,70,1,10,3,1
3.02,3.02,77,0,17,0,1
18,18,77,1,16,2,2
8,8,4,0,10,8,1
12,12,17,0,17,0,1
51,51,49,0,13,0,2
,0,77,0,11,,
20.56,20.56,3,0,10,8,1
120,120,4,0,10,0,3
57,57,4,0,21,8,1
10,10,84,0,17,3,2
18,18,88,0,10,2,1
48,48,49,0,10,7,6
0.03,0.03,3,0,16,8,1
10,10,85,0,16,0,2
6,6,42,0,17,0,1
63,63,49,0,10,0,2
15,15,77,0,10,8,1
4.14,4.14,70,0,17,0,1
87,87,85,1,22,0,2
4.39,4.39,30,0,17,8,2
0.03,0.03,51,1,16,0,1
,0,14,1,29,2,1
0.03,0.03,85,0,17,0,2
5.62,5.62,84,0,17,0,1
70,70,62,0,10,6,3
0.03,0.03,37,0,21,2,5
135,135,65,0,10,0,1
48,48,25,0,7,7,1
6,6,66,0,17,8,2
27,27,50,0,24,0,1
324,324,63,0,10,8,6
,0,4,1,21,0,1
3.78,3.78,41,0,17,0,1
57,57,47,0,13,0,5
60,60,66,0,10,8,5
2.46,2.46,42,0,17,0,1
2.2,2.2,42,0,17,0,1
2.53,2.53,42,0,17,0,1
105,105,42,0,10,0,2
72,72,12,0,13,7,6
2.76,2.76,42,0,17,0,1
,4,42,0,17,0,1
7.66,7.66,42,0,17,8,3
2.95,2.95,42,1,17,0,1
,0,70,1,16,7,1
,0,70,0,17,3,6
5.56,5.56,42,0,17,0,1
120,120,63,1,10,2,2
0.03,0.03,13,1,16,8,1
480,480,19,0,27,7,1
120,120,24,0,10,8,2
110,110,54,1,10,2,5
3.3,3.3,42,0,17,0,1
84,84,49,0,10,2,5
,0,42,0,17,0,1
18,18,65,1,10,7,1
54,54,34,0,10,8,1
15,15,49,0,25,8,4
5.33,5.33,13,0,17,3,4
72,72,44,0,16,2,1
168,168,61,0,10,1,3
5.3,5.3,42,1,17,0,1
100,100,49,0,13,0,5
22,22,34,0,10,0,1
,0,44,1,10,0,1
24,24,70,0,17,3,5
60,60,34,0,10,7,6
7.39,7.39,76,0,17,0,1
0.03,12.03,16,0,10,2,1
235,235,67,0,7,0,2
32,32,42,0,10,2,1
24,24,34,0,10,8,1
24,24,83,0,10,8,1
5.99,5.99,42,0,17,0,1
5.39,5.39,41,0,17,0,1
,0,22,0,30,0,1
4.76,4.76,42,0,17,0,1
7.72,7.72,41,0,17,0,1
76,76,47,0,16,0,1
0.89,0.89,41,1,17,0,1
4.39,4.39,42,0,17,0,1
5.99,5.99,42,0,17,0,1
9,9,70,1,10,3,1
23,23,83,0,27,2,3
33,33,35,0,13,0,1
33,33,47,0,13,0,2
63,63,35,0,13,0,6
2.23,2.23,42,1,17,0,1
0.43,0.43,94,0,17,0,1
4.76,4.76,70,1,17,0,1
8,8,70,0,17,3,3
6,12,55,0,16,2,1
60,60,35,0,13,0,2
33,33,44,0,28,0,6
0.49,0.49,94,0,17,0,1
5.36,10.36,42,1,17,0,1
15,15,83,0,25,0,6
0.49,0.49,94,1,17,0,1
10,10,42,0,17,0,1
0.43,0.43,94,0,17,0,1
0.49,0.49,94,0,17,0,1
15,15,42,0,17,0,2
8.02,14.02,42,0,17,0,1
4.85,4.85,42,0,17,0,1
2.82,2.82,42,0,17,0,1
,0,42,0,17,0,1
,8,12,0,5,2,1
0.85,0.85,94,1,17,0,1
2.59,2.59,42,0,17,0,1
5.16,5.16,42,0,17,0,1
2.82,2.82,42,0,17,0,1
